Stock,RS_Rating,Price,50 SMA,150 SMA,200 SMA,52 Week Low,52 Week High
EVBG,54.64899037601602,153.8699951171875,112.7,92.93,89.64,61.27000045776367,153.8699951171875
FDNI,54.64634451017202,27.149599075317383,23.6,23.56,22.95,19.280000686645508,27.149599075317383
BILI,54.575546808386456,29.0,25.74,21.53,19.79,13.4399995803833,30.200000762939453
BVSN,54.544942614164995,4.340000152587891,3.4,2.99,2.6,1.1200000047683716,4.349999904632568
ALLT,54.53700492546149,11.880000114440918,9.74,9.34,8.91,6.550000190734863,12.880000114440918
SPWH,54.52774708633117,7.670000076293945,6.22,6.71,6.13,3.490000009536743,8.640000343322754
LMNX,54.52426323076442,33.244998931884766,29.78,24.34,23.44,17.363752365112305,38.83000183105469
BBH,54.500562478228616,152.7100067138672,135.42,135.0,131.87,114.43024444580078,152.7100067138672
JKHY,54.49585771267238,182.7899932861328,159.39,152.87,150.14,129.61000061035156,183.80999755859375
NUAN,54.48625034842917,19.979999542236328,18.2,18.18,17.25,13.151515007019043,23.389999389648438
ZEAL,54.45480774455474,34.77000045776367,32.4,32.65,30.19,18.75,44.25
PBH,54.42303016443187,40.2400016784668,37.15,38.37,37.14,29.020000457763672,45.959999084472656
DRNA,54.40410572699618,20.84000015258789,19.04,20.01,18.53,10.774999618530273,26.915000915527344
NEO,54.39710857261055,28.100000381469727,27.21,27.12,26.18,18.959999084472656,34.529998779296875
PEN,54.38581641390126,179.07000732421875,166.53,165.89,161.52,124.33999633789062,193.75999450683594
FENC,54.372724117599944,6.639999866485596,6.41,6.1,5.71,3.299999952316284,8.100000381469727
AMRC,54.276478581657656,19.6299991607666,17.87,17.71,16.95,13.229999542236328,24.829999923706055
ZYXI,54.255322613370026,18.530000686645508,13.02,10.91,10.5,7.039999961853027,18.989999771118164
SCPH,54.25079582340655,10.729999542236328,8.54,6.72,6.57,2.930000066757202,10.729999542236328
MKTX,54.182205107619865,484.32000732421875,383.39,369.73,366.51,276.70245361328125,484.32000732421875
INSG,54.1814453547828,11.199999809265137,8.5,7.3,6.61,3.619999885559082,14.069999694824219
NLTX,54.15678818808648,14.279999732971191,10.62,8.49,7.14,2.2699999809265137,14.279999732971191
CYTK,54.11946876991693,15.755000114440918,13.29,12.03,12.26,7.949999809265137,16.6299991607666
WING,54.10190413428416,127.55000305175781,90.63,88.11,89.68,49.720001220703125,127.55000305175781
IBB,54.09010211662442,128.41000366210938,113.98,114.75,111.88,94.33940887451172,128.41000366210938
PLUG,54.056265938177965,4.550000190734863,3.95,3.67,3.34,2.009999990463257,5.71999979019165
NPTN,54.055472864532504,8.8100004196167,7.46,7.65,7.23,3.559999942779541,9.760000228881836
SMED,54.02854122092838,6.769999980926514,6.45,5.17,4.85,3.2300000190734863,8.029999732971191
EA,53.993791842494744,116.62000274658203,105.74,104.1,101.69,86.94000244140625,119.61000061035156
ACAD,53.969098468046546,50.720001220703125,42.91,43.23,40.46,22.219999313354492,51.88999938964844
UNH,53.95545267369569,287.0,263.73,269.48,260.28,194.86000061035156,303.99322509765625
MTEM,53.95480255915804,16.989999771118164,15.03,12.82,11.06,4.599999904632568,18.260000228881836
NOW,53.85097022352804,377.260009765625,300.64,291.89,284.63,220.00999450683594,381.8299865722656
TGTX,53.82492752257995,18.81999969482422,11.25,10.56,9.54,5.099999904632568,19.18000030517578
MEET,53.739013224772755,6.199999809265137,5.9,5.39,4.91,3.1600000858306885,6.820000171661377
TIF,53.69522873958304,128.55999755859375,127.56,125.39,116.01,79.30655670166016,133.65933227539062
IOTS,53.65982169251599,12.149999618530273,11.25,9.22,9.31,6.909999847412109,12.350000381469727
LOGI,53.64480704543131,51.38999938964844,43.31,43.66,42.84,33.88999938964844,51.38999938964844
HLI,53.63157529627019,61.33000183105469,53.48,50.69,48.93,41.11980056762695,61.33000183105469
BABA,53.62897475098109,201.19000244140625,197.49,199.07,192.11,149.25999450683594,230.47999572753906
FG,53.62861605692507,10.350000381469727,10.2,9.89,9.38,6.967214584350586,12.158699989318848
PZZA,53.620350718847234,81.19999694824219,59.95,60.97,57.63,35.54999923706055,81.19999694824219
HALO,53.54005981868615,23.610000610351562,19.15,18.6,18.01,13.899999618530273,23.8700008392334
BBC,53.53077422170748,38.650001525878906,31.83,32.49,31.0,22.920000076293945,39.65999984741211
SAM,53.52551789761467,482.2200012207031,390.55,383.14,385.8,305.760009765625,486.739990234375
OBCI,53.51777954800532,6.980000019073486,5.0,3.99,3.85,2.9700000286102295,7.239999771118164
OKTA,53.467367441048694,169.3800048828125,132.72,124.89,123.89,96.08000183105469,170.2899932861328
EBS,53.43300729869682,80.7300033569336,63.05,58.27,55.65,39.91999816894531,80.7300033569336
KDMN,53.42061275630435,4.380000114440918,4.05,4.05,3.67,1.649999976158142,5.159999847412109
SORL,53.40144905722366,4.690000057220459,4.13,4.05,3.84,2.869999885559082,4.690000057220459
IRTC,53.39296170044231,124.5199966430664,88.89,78.87,78.17,57.790000915527344,124.5199966430664
EGOV,53.3913655481098,23.68000030517578,21.56,21.57,21.26,15.344244956970215,25.670000076293945
JNJ,53.364551005592446,148.6999969482422,139.41,139.47,136.64,111.13999938964844,155.50999450683594
FATE,53.358297429497775,28.84000015258789,26.14,21.89,20.94,13.390000343322754,31.8799991607666
NYMX,53.3290546015163,3.049999952316284,2.44,2.43,2.28,1.3300000429153442,3.880000114440918
